Fund Name,Category,NAV,Risk Rating
AL Habib Islamic Savings Fund,Shariah Compliant Income (Annualized Return),105.4347,AA(f)
Alfalah GHP Islamic Income Fund,Shariah Compliant Income (Annualized Return),108.2932,AA-(f)
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan I),Shariah Compliant Income (Annualized Return),100.2671,AA+(f)
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II),Shariah Compliant Income (Annualized Return),115.0373,AA+(f)
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan III),Shariah Compliant Income (Annualized Return),105.4733,AA+(f)
Alhamra Daily Dividend Fund,Shariah Compliant Income (Annualized Return),100.0,AA-(f)
Alhamra Government Securities Plan I,Shariah Compliant Income (Annualized Return),105.0653,AA(f)
Alhamra Islamic Income Fund,Shariah Compliant Income (Annualized Return),109.4403,AA(f)
Atlas Islamic Income Fund,Shariah Compliant Income (Annualized Return),540.3629,AA-(f)
AWT Islamic Income Fund,Shariah Compliant Income (Annualized Return),110.943,A+(f)
Faysal Halal Amdani Fund II,Shariah Compliant Income (Annualized Return),101.1561,
Faysal Halal Amdani Fund III,Shariah Compliant Income (Annualized Return),100.334,
Faysal Islamic Savings Growth Fund,Shariah Compliant Income (Annualized Return),109.9058,A+(f)
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I),Shariah Compliant Income (Annualized Return),104.1149,AA(f)
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II),Shariah Compliant Income (Annualized Return),103.3387,AA(f)
Faysal Islamic Special Income Plan I,Shariah Compliant Income (Annualized Return),10.5875,AA(f)
HBL Islamic Income Fund,Shariah Compliant Income (Annualized Return),109.2198,A+(f)
JS Islamic Income Fund,Shariah Compliant Income (Annualized Return),111.6566,AA-(f)
Lucky Islamic Income Fund,Shariah Compliant Income (Annualized Return),105.4288,AA(f)
Meezan Daily Income Fund (MDIP I),Shariah Compliant Income (Annualized Return),50.0,AA-(f)
Meezan Daily Income Fund (Meezan Mahana Munafa Plan),Shariah Compliant Income (Annualized Return),50.0,
Meezan Daily Income Fund (Meezan Munafa Plan I),Shariah Compliant Income (Annualized Return),52.8592,
Meezan Daily Income Fund (Meezan Sehl Account Plan) (MSHP),Shariah Compliant Income (Annualized Return),52.5721,
